epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6903,1.24861,2.88709,1.23349,0.006,1,0.58349,0.46587,0.94724,2.86685,1.0234,0.00036,0.00036,0.00036
2,32.8857,0.91294,1.21856,1.00643,1,0.16171,0.7923,0.59038,0.99587,2.61862,1.01078,0.000737558,0.000737558,0.000737558
3,49.1784,0.82435,0.94201,0.95362,1,0.88749,0.99344,0.79508,0.77618,1.77173,0.87493,0.00111261,0.00111261,0.00111261
4,65.2191,0.80317,0.8233,0.93528,1,0.92409,0.99391,0.79489,0.73357,1.69744,0.88901,0.00148515,0.00148515,0.00148515
5,81.1932,0.77512,0.76876,0.90346,0.98983,0.97375,0.99287,0.80157,0.85443,0.9771,0.91824,0.00185518,0.00185518,0.00185518
6,97.2083,0.75399,0.75842,0.91772,0.88869,0.93,0.97541,0.80499,0.69691,1.00617,0.8916,0.001967,0.001967,0.001967
7,113.145,0.73447,0.69191,0.9163,0.92098,0.89,0.97841,0.8217,0.65577,0.82466,0.87099,0.0019604,0.0019604,0.0019604
8,129.165,0.74049,0.66819,0.91613,0.99744,0.98,0.9948,0.86691,0.58595,0.63795,0.8637,0.0019538,0.0019538,0.0019538
9,145.1,0.72385,0.64225,0.91128,0.99801,1,0.995,0.85992,0.639,0.61539,0.87514,0.0019472,0.0019472,0.0019472
10,161.181,0.68332,0.6067,0.90779,0.99184,1,0.995,0.84872,0.63455,0.57531,0.86827,0.0019406,0.0019406,0.0019406
11,177.35,0.72428,0.58103,0.92097,1,0.99902,0.995,0.86244,0.62631,0.56932,0.86232,0.001934,0.001934,0.001934
12,193.819,0.71336,0.57132,0.90278,0.99933,1,0.995,0.87326,0.57368,0.56701,0.84862,0.0019274,0.0019274,0.0019274
13,209.974,0.65423,0.52191,0.88779,0.99915,1,0.995,0.86528,0.54762,0.47912,0.84025,0.0019208,0.0019208,0.0019208
